County,pct_Kerry,Kerry,Bush,Num_vote_04
Aitkin,48.7697432,4539,4768,9307
Anoka,46.6216098,80226,91853,172079
Becker,40.8192858,6756,9795,16551
Beltrami,50.8521773,10592,10237,20829
Benton,44.5199425,8059,10043,18102
Big Stone,50.8777741,1536,1483,3019
Blue Earth,51.7299552,16865,15737,32602
Brown,38.0579945,5158,8395,13553
Carlton,63.3119753,11462,6642,18104
Carver,36.5965396,16456,28510,44966
Cass,43.5073202,6835,8875,15710
Chippewa,52.5717795,3424,3089,6513
Chisago,43.7580576,12219,15705,27924
Clay,47.4848285,12989,14365,27354
Clearwater,43.4207473,1871,2438,4309
Cook,53.786468,1733,1489,3222
Cottonwood,43.3869171,2726,3557,6283
Crow Wing,42.2971218,14005,19106,33111
Dakota,48.9877993,104635,108959,213594
Dodge,42.3995881,4117,5593,9710
Douglas,41.0703578,8219,11793,20012
Faribault,44.0018689,3767,4794,8561
Fillmore,50.5686257,5825,5694,11519
Freeborn,55.8918112,9733,7681,17414
Goodhue,47.9573642,12103,13134,25237
Grant,49.5065351,1856,1893,3749
Hennepin,60.0714583,383841,255133,638974
Houston,48.3726047,5276,5631,10907
Hubbard,42.3871256,4741,6444,11185
Isanti,41.3306769,7883,11190,19073
Itasca,55.3865389,13290,10705,23995
Jackson,46.7230444,2652,3024,5676
Kanabec,44.2419017,3592,4527,8119
Kandiyohi,44.3752673,9337,11704,21041
Kittson,50.4924242,1333,1307,2640
Koochiching,50.854048,3662,3539,7201
Lac Qui Parle,53.3125139,2390,2093,4483
Lake,60.3351955,4212,2769,6981
Lake of the Woods,39.2081737,921,1428,2349
Le Sueur,45.4967633,6466,7746,14212
Lincoln,47.2981178,1558,1736,3294
Lyon,42.3529412,5292,7203,12495
McLeod,37.043987,6712,11407,18119
Mahnomen,54.1885876,1339,1132,2471
Marshall,42.0018198,2308,3187,5495
Martin,42.1062288,4590,6311,10901
Meeker,43.5698996,5292,6854,12146
Mille Lacs,44.106907,5677,7194,12871
Morrison,41.1957313,6794,9698,16492
Mower,61.902133,12334,7591,19925
Murray,44.9260685,2218,2719,4937
Nicollet,50.3088185,8797,8689,17486
Nobles,43.0385337,3898,5159,9057
Norman,52.1344717,1954,1794,3748
Olmsted,47.1085258,33285,37371,70656
Otter Tail,37.888707,12038,19734,31772
Pennington,45.2789076,3117,3767,6884
Pine,50.6836828,7228,7033,14261
Pipestone,38.2601692,1900,3066,4966
Polk,43.5449427,6729,8724,15453
Pope,49.9848577,3301,3303,6604
Ramsey,63.8970484,171846,97096,268942
Red Lake,45.2750353,963,1164,2127
Redwood,38.7903024,3104,4898,8002
Renville,46.0873798,3787,4430,8217
Rice,54.1971887,16425,13881,30306
Rock,39.1312855,2000,3111,5111
Roseau,31.3197384,2442,5355,7797
Scott,39.9213504,23958,36055,60013
Sherburne,38.5774916,15816,25182,40998
Sibley,39.9717151,3109,4669,7778
St. Louis,66.0269332,77958,40112,118070
Stearns,43.9053573,32659,41726,74385
Steele,43.4858293,7994,10389,18383
Stevens,48.2139805,2821,3030,5851
Swift,56.0573858,3165,2481,5646
Todd,42.0235412,5034,6945,11979
Traverse,48.8106565,1026,1076,2102
Wabasha,47.5488516,5548,6120,11668
Wadena,39.8429693,2791,4214,7005
Waseca,43.3686177,4179,5457,9636
Washington,48.2870086,61395,65751,127146
Watonwan,45.8424508,2514,2970,5484
Wilkin,33.6693548,1169,2303,3472
Winona,52.8699335,14231,12686,26917
Wright,38.4699119,22618,36176,58794
Yellow Medicine,49.30421,2799,2878,5677
